variable,0,1,2,3,4,5,rsq
AVW700,-2.848541e+05,2.686421e+03,-1.006646e+01,1.875368e-02,-1.736367e-05,6.392816e-09,0.9379
MODIS_Aqua,1.033554e+04,-9.090221e+01,3.202456e-01,-5.476600e-04,4.611382e-07,-1.534792e-10,0.9954
MODIS_Terra,9.738622e+03,-8.538811e+01,3.000981e-01,-5.112075e-04,4.284313e-07,-1.418231e-10,0.9954
OLCI_S3A,5.924396e+03,-5.805088e+01,2.304654e-01,-4.388190e-04,4.079200e-07,-1.485240e-10,0.9981
OLCI_S3B,5.964209e+03,-5.847561e+01,2.322282e-01,-4.423953e-04,4.114768e-07,-1.499130e-10,0.9981
ENVISAT_MERIS,1.742876e+04,-1.581697e+02,5.740412e-01,-1.021468e-03,8.970950e-07,-3.114359e-10,0.9991
ORBVIEW2_SEAWIFS,6.219790e+04,-5.369050e+02,1.834988e+00,-3.088302e-03,2.567742e-06,-8.450699e-10,0.9922
SEAHAWK1_HAWKEYE,6.436528e+04,-5.665836e+02,1.977269e+00,-3.403086e-03,2.896828e-06,-9.769681e-10,0.997
ADEOS_OCTS,3.199187e+04,-2.646432e+02,8.625152e-01,-1.367378e-03,1.058408e-06,-3.200027e-10,0.993
COMS_GOCI,1.885094e+03,-2.166558e+01,9.737083e-02,-1.941058e-04,1.839101e-07,-6.739222e-11,0.9967
JPSS1_VIIRS,2.001926e+04,-1.801885e+02,6.435012e-01,-1.121382e-03,9.607910e-07,-3.247087e-10,0.997
JPSS2_VIIRS,2.229488e+04,-2.008803e+02,7.177489e-01,-1.252786e-03,1.075541e-06,-3.642950e-10,0.997
NPP_VIIRS,2.628517e+04,-2.378802e+02,8.533216e-01,-1.498110e-03,1.294778e-06,-4.416987e-10,0.9971
NIMBUS7_CZCS,-1.297211e+06,1.235672e+04,-4.689399e+01,8.863795e-02,-8.343483e-05,3.128872e-08,0.9184
S2A_MSI,7.511052e+03,-7.582730e+01,2.962334e-01,-5.460118e-04,4.852203e-07,-1.674835e-10,0.9965
S2B_MSI,9.185778e+03,-8.991373e+01,3.434464e-01,-6.247664e-04,5.505596e-07,-1.890383e-10,0.9966
LC8_OLI,-3.606559e+04,3.112796e+02,-1.068118e+00,1.835520e-03,-1.570661e-06,5.340761e-10,0.9956
ENMAP_HSI,-5.123247e+03,4.581636e+01,-1.581165e-01,2.787113e-04,-2.438141e-07,8.437099e-11,0.9996
CMEMS_HROC_L3_optics,7.660449e+03,-7.919615e+01,3.158735e-01,-5.952209e-04,5.421288e-07,-1.924297e-10,0.9976
cmems_P1D400,2.761334e+04,-2.581564e+02,9.573474e-01,-1.743625e-03,1.567689e-06,-5.572666e-10,0.998
AERONET_OC_1,3.903010e+03,-3.013464e+01,9.395202e-02,-1.307641e-04,8.107774e-08,-1.648894e-11,0.9963
AERONET_OC_2,2.516348e+04,-1.934995e+02,5.732567e-01,-7.919756e-04,4.970165e-07,-1.046408e-10,0.9908
