OWT,AVW,Area,NDI,Utot,U_OWT1,U_OWT2,U_OWT3a,U_OWT3b,U_OWT4a,U_OWT4b,U_OWT5a,U_OWT5b,U_OWT6,U_OWT7
2,461.958,0.353,0.836,0.997,0.13886,0.84419,0.01245,0.00167,0.0,0.0,0.0,0.0,0.0,0.0
3a,503.854,0.394,0.668,0.857,0.0,0.0,0.83305,0.00247,0.02099,1e-05,0.0,0.0,0.0,0.00062
4a,538.355,1.682,0.55,1.603,0.0,0.0,0.04674,0.0006,0.86066,0.68368,0.01022,0.00029,0.0,0.00037
7,655.18,0.091,-0.446,0.871,0.0,0.0,0.0,0.0,2e-05,1e-05,0.0,0.0,0.0,0.87093
3b,496.145,1.979,0.747,1.368,0.0,0.0,0.41934,0.93207,0.01619,0.00039,0.0,0.0,0.0,0.0
5b,620.968,2.403,0.267,0.822,0.0,0.0,0.0,0.0,0.0,0.0,0.03243,0.78991,0.0,0.0
1,456.73,0.562,0.817,1.401,0.97844,0.42175,0.00074,0.00017,0.0,0.0,0.0,0.0,0.0,0.0
4b,559.254,4.103,0.384,1.508,0.0,0.0,0.00017,0.0,0.49379,0.96409,0.03864,0.01105,0.0,3e-05
6,603.196,4.556,-0.054,1.207,0.0,0.0,0.0,0.0,0.06921,0.1438,0.00224,0.00153,0.99003,6e-05
5a,576.243,1.192,0.417,1.132,0.0,0.0,0.0,0.0,0.04013,0.04586,0.97538,0.06994,0.0,0.00093
